,prop,subevent,role,causation,syntax,lr,batch_size,epoch,finished,exp,mean_rank,mrr,hit@1,hit@3,hit@10
59,0,0,0,1,simple_rdf_reification,1e-05,128,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs128_ep1,315.2627,0.2111,0.1719,0.2163,0.2798
60,0,0,0,1,simple_rdf_sp,1e-05,256,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep1,456.7964,0.0923,0.0272,0.0939,0.2412
61,0,1,0,1,simple_rdf_prop,1e-05,256,10,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs256_ep10,90.2204,0.4185,0.3123,0.4684,0.6336
62,1,0,0,1,simple_rdf_sp,1e-05,256,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep1,416.238,0.1737,0.0987,0.1864,0.3301
63,0,1,0,0,simple_rdf_prop,1e-05,256,1,True,kg_base_prop_0_subevent_1_role_0_causation_0_syntax_simple_rdf_prop_lr1e-05_bs256_ep1,141.0104,0.2022,0.1071,0.2485,0.372
64,0,0,0,1,simple_rdf_prop,3e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr3e-05_bs512_ep1,403.3726,0.0788,0.0077,0.0945,0.2219
65,0,1,0,1,simple_rdf_sp,1e-05,256,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep1,341.3657,0.2426,0.1584,0.2701,0.4093
66,1,0,0,0,simple_rdf_prop,3e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_0_syntax_simple_rdf_prop_lr3e-05_bs512_ep1,362.88,0.1394,0.0709,0.1282,0.3019
67,0,0,0,1,simple_rdf_reification,5e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr5e-05_bs512_ep1,362.3452,0.1959,0.1517,0.2074,0.2779
68,0,0,0,0,simple_rdf_prop,3e-05,256,1,True,kg_base_prop_0_subevent_0_role_0_causation_0_syntax_simple_rdf_prop_lr3e-05_bs256_ep1,133.7427,0.1095,0.0,0.1505,0.2913
69,0,0,0,1,simple_rdf_prop,5e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr5e-05_bs512_ep1,357.212,0.0912,0.0143,0.1044,0.2626
70,1,0,0,1,simple_rdf_prop,1e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs512_ep1,636.2923,0.0538,0.0033,0.0467,0.1573
71,1,0,0,1,simple_rdf_prop,5e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr5e-05_bs512_ep1,209.9387,0.2735,0.1885,0.2987,0.4384
72,0,0,0,0,simple_rdf_prop,3e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_0_syntax_simple_rdf_prop_lr3e-05_bs512_ep1,151.9903,0.0784,0.0,0.0874,0.2282
73,0,0,0,1,simple_rdf_sp,3e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr3e-05_bs512_ep1,410.8852,0.1235,0.049,0.1493,0.2589
74,0,0,0,1,simple_rdf_reification,1e-05,256,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep1,500.835,0.1193,0.0755,0.1174,0.2601
75,1,0,0,1,simple_rdf_sp,3e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr3e-05_bs512_ep1,312.6042,0.2134,0.1317,0.2319,0.3808
76,0,1,0,1,simple_rdf_sp,5e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr5e-05_bs512_ep1,165.4164,0.3267,0.2162,0.3751,0.533
77,1,0,0,0,simple_rdf_prop,1e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_0_syntax_simple_rdf_prop_lr1e-05_bs512_ep1,591.6114,0.0525,0.0036,0.045,0.1459
