,prop,subevent,role,causation,hp,metric,corr,pval,exp_count,method,td
53,1,0,0,0,epoch,H@1,,,4,SimKGC,simple-triple+text
54,1,0,0,0,epoch,H@3,,,4,SimKGC,simple-triple+text
55,1,0,0,0,epoch,H@10,,,4,SimKGC,simple-triple+text
56,1,0,0,0,batch_size,MRR,-0.2581988897471611,0.7418011102528389,4,SimKGC,simple-triple+text
57,1,0,0,0,batch_size,H@1,-0.2581988897471611,0.7418011102528389,4,SimKGC,simple-triple+text
58,1,0,0,0,batch_size,H@3,-0.2581988897471611,0.7418011102528389,4,SimKGC,simple-triple+text
59,1,0,0,0,batch_size,H@10,-0.2581988897471611,0.7418011102528389,4,SimKGC,simple-triple+text
60,1,0,0,1,lr,MRR,0.9217648016985405,2.02196826066901e-05,12,SimKGC,simple-triple+text
61,1,0,0,1,lr,H@1,0.8534859274986487,0.00041356049927417435,12,SimKGC,simple-triple+text
62,1,0,0,1,lr,H@3,0.9217648016985405,2.02196826066901e-05,12,SimKGC,simple-triple+text
63,1,0,0,1,lr,H@10,0.9217648016985405,2.02196826066901e-05,12,SimKGC,simple-triple+text
64,1,0,0,1,epoch,MRR,,,12,SimKGC,simple-triple+text
65,1,0,0,1,epoch,H@1,,,12,SimKGC,simple-triple+text
66,1,0,0,1,epoch,H@3,,,12,SimKGC,simple-triple+text
67,1,0,0,1,epoch,H@10,,,12,SimKGC,simple-triple+text
68,1,0,0,1,batch_size,MRR,0.2508726030021272,0.4315787458484175,12,SimKGC,simple-triple+text
69,1,0,0,1,batch_size,H@1,0.13937366833451512,0.6657396861677172,12,SimKGC,simple-triple+text
70,1,0,0,1,batch_size,H@3,0.2508726030021272,0.4315787458484175,12,SimKGC,simple-triple+text
71,1,0,0,1,batch_size,H@10,0.2508726030021272,0.4315787458484175,12,SimKGC,simple-triple+text
72,1,1,0,0,lr,MRR,,,1,SimKGC,simple-triple+text
73,1,1,0,0,lr,H@1,,,1,SimKGC,simple-triple+text
74,1,1,0,0,lr,H@3,,,1,SimKGC,simple-triple+text
75,1,1,0,0,lr,H@10,,,1,SimKGC,simple-triple+text
76,1,1,0,0,epoch,MRR,,,1,SimKGC,simple-triple+text
77,1,1,0,0,epoch,H@1,,,1,SimKGC,simple-triple+text
78,1,1,0,0,epoch,H@3,,,1,SimKGC,simple-triple+text
79,1,1,0,0,epoch,H@10,,,1,SimKGC,simple-triple+text
80,1,1,0,0,batch_size,MRR,,,1,SimKGC,simple-triple+text
81,1,1,0,0,batch_size,H@1,,,1,SimKGC,simple-triple+text
82,1,1,0,0,batch_size,H@3,,,1,SimKGC,simple-triple+text
83,1,1,0,0,batch_size,H@10,,,1,SimKGC,simple-triple+text
84,1,1,0,1,lr,MRR,,,3,SimKGC,simple-triple+text
85,1,1,0,1,lr,H@1,,,3,SimKGC,simple-triple+text
86,1,1,0,1,lr,H@3,,,3,SimKGC,simple-triple+text
87,1,1,0,1,lr,H@10,,,3,SimKGC,simple-triple+text
88,1,1,0,1,epoch,MRR,,,3,SimKGC,simple-triple+text
89,1,1,0,1,epoch,H@1,,,3,SimKGC,simple-triple+text
90,1,1,0,1,epoch,H@3,,,3,SimKGC,simple-triple+text
91,1,1,0,1,epoch,H@10,,,3,SimKGC,simple-triple+text
92,1,1,0,1,batch_size,MRR,,,3,SimKGC,simple-triple+text
93,1,1,0,1,batch_size,H@1,,,3,SimKGC,simple-triple+text
94,1,1,0,1,batch_size,H@3,,,3,SimKGC,simple-triple+text
95,1,1,0,1,batch_size,H@10,,,3,SimKGC,simple-triple+text
